date,Ticker,price_Nflx,log_return,vol_5d,vol_10d,news_volume,sentiment_distilbert,sentiment_xlm,MDI_news,gdelt_volume,gdelt_index_pct
2022-04-19,Netflix,34.86100006103516,0.0313222328789819,0.024,0.021,34,-0.794,-0.382,0.553,1400,38.62068965517241
2022-04-20,Netflix,22.61899948120117,-0.4325784894950873,0.196,0.135,47,-0.84,-0.489,0.537,3625,100.0
2022-04-21,Netflix,21.82200050354004,-0.0358715798016393,0.191,0.135,19,-0.605,-0.45,0.611,1855,51.172413793103445
2022-04-22,Netflix,21.552000045776367,-0.0124500365157826,0.192,0.135,10,-0.8,-0.447,0.553,1340,36.96551724137931
2022-04-23,Netflix,,,,,4,-1.0,-0.261,0.739,848,23.393103448275863
2022-04-24,Netflix,,,,,1,-1.0,-0.9,0.1,560,15.448275862068966
2022-04-25,Netflix,20.99099922180176,-0.0263748844330833,0.19,0.135,7,-0.5,-0.413,0.515,883,24.35862068965517
2022-04-26,Netflix,19.84000015258789,-0.0563936278112725,0.18,0.135,7,-1.0,-0.356,0.644,826,22.786206896551725
2022-04-27,Netflix,18.85400009155273,-0.0509750117178115,0.018,0.134,5,-0.5,-0.141,0.841,971,26.78620689655172
2022-04-28,Netflix,19.95199966430664,0.0566042742827953,0.045,0.137,3,-0.333,-0.394,0.707,1180,32.55172413793103
2022-04-29,Netflix,19.035999298095703,-0.0469974857262368,0.047,0.136,7,-0.643,-0.223,0.625,1168,32.220689655172414
2022-04-30,Netflix,,,,,3,-0.333,-0.19,0.81,1143,31.531034482758617
2022-05-01,Netflix,,,,,2,-0.25,0.245,0.505,629,17.351724137931036
2022-05-02,Netflix,19.94599914550781,0.0466966927530015,0.057,0.14,2,-1.0,-0.637,0.363,1096,30.23448275862069
2022-05-03,Netflix,19.98699951171875,0.0020534586430653,0.05,0.138,3,0.333,0.584,0.733,983,27.117241379310347
