case,title,source,published_utc,link,query
Netflix,"Netflix shares down more than 20% after losing 200,000 subscribers in first quarter - TechCrunch",TechCrunch,2022-04-19 07:00:00+00:00,https://news.google.com/rss/articles/CBMitwFBVV95cUxPZC0tQWFQNmg5c1NlSWt6VGQ5TEl5MHQzRHJxbXhrblByQmhIX0tPYWx2bTFnZHBtRUhfN2haTVdlM3hsQVZ2MjcyOEN0aDJhZXBJLUFhNE5DY3RseDhsbTFJVlI2Q29mS2FKYkNzREFHZUcxRS1VR3lrZ2VGMkowV1FmNFc5aDJlQW03NWdFbjRVcUlETTZBVlQ0ZmdLX1drbnVfc3B1LTctbXpiMVhIY2NLeGpyVDQ?oc=5,"""Netflix"" subscribers loss"
Netflix,Netflix Reports Loss of Subscribers for the First Time in a Decade - globaldata.com,globaldata.com,2022-04-19 07:00:00+00:00,https://news.google.com/rss/articles/CBMi1AFBVV95cUxOOGlWenNkTG5kNm1ZUzVvNnpaNng3ek85bU85ODc3SGdDQmpqS2xPSDNVNkRTcndlWkJMOFhUWG5tTjVIT19fRW9ZYW92aDRxQTNpbS1wcGstdGlmNWVzbFNQTUlrME9ORHFVZjZjRDlMcTI3WUlEdFFKQlpjNEZ6cnl6RjFaT0UxM2V2bmVwNTdIUjVYMEtTMlNtZDFLUlYyQ3pPOGZzTzFGdzJiYzRlSS0tUXNjU1Y2SHA5eWhnZ2RlWHBPVEFZNTFmM0JkajMxZG40LQ?oc=5,"""Netflix"" subscribers loss"
Netflix,Netflix to Start “Pulling Back” Content Spend After Losing Subscribers in Earnings Miss - hollywoodreporter.com,hollywoodreporter.com,2022-04-19 07:00:00+00:00,https://news.google.com/rss/articles/CBMikAFBVV95cUxNVGExcTduTGVKV1BGQi1YUC1Kck1yUzBpaDYwOFRkLXlYakhmdE1HQVZlLTdPWEdoY21remp2VEViTl9ERlZyMFhKcmxCenJ0UzZneHFFdm8zbzkxaldFeFpYRk93M3dBM1ZaQ01CSC1yaTYydHdvT3FYZnh3ZTBlQlhCZDlhUFMyT2MySUlRZDk?oc=5,"""Netflix"" subscriber loss April 2022"
Netflix,Netflix just lost $50 billion in market cap - CNN,CNN,2022-04-19 07:00:00+00:00,https://news.google.com/rss/articles/CBMiY0FVX3lxTFAwS3ROWDh6TnpsLVdlZ1FVSEZ5cV9EWjRvenF4dlhqS0ZFMFFCczNtWXBBeDkzMXRDeklTakJxejgzUWZxVm55ZHpBTDZteHJjUUJvTDA4Y0ZmX2dVNmN2c2lyOA?oc=5,"""Netflix"" subscriber loss April 2022"
Netflix,"Netflix Loses 200,000 Subscribers in Q1, Predicts Loss of 2 Million More in Q2 - Variety",Variety,2022-04-19 07:00:00+00:00,https://news.google.com/rss/articles/CBMiigFBVV95cUxPUkhyX3hldDl1QkVxbURDRGpfTjN3aFNIdXcwbWFyU0tXMHdBTWNXZm55RGwwb0F2T1gxUHdtdTJwaE5jeVNteEpfektJR2tJd0hQbmhPYnFsRW53ajhTNlJpaFNtcXlWMzh3dlZBb2NjdV9HM2VHRXdTamRmdUpadXYzYzdpWTFrU2c?oc=5,"""Netflix"" subscriber loss April 2022"
Netflix,Netflix loses subscribers for first time in 10 years – and considers advertisements - The Guardian,The Guardian,2022-04-19 07:00:00+00:00,https://news.google.com/rss/articles/CBMiswFBVV95cUxNbVdlU2FqS2cycVhaSWVnSjBSNTBwLWZjOE5CYmtuU2JxRDQzR2sxYmF2Y0NEWldXaFZnNHdZcWoxZFFPTU0xbjUzb2JnQ2poYlNyeXY0SjNmS1JQRUI1SFdFVnVUMkNXc0dDQl9hdVhwRFlNaTI2cG56elNUQmk0eGxGR1F2WlRPNUotdlVEZmN6d09CZGtpZ2wwYk4wM3FHNlpsa014YTFiaTYxY05mUHNtRQ?oc=5,"""Netflix"" subscriber loss April 2022"
Netflix,Netflix shares crater 25% after company reports it lost subscribers for the first time in more than 10 years - CNBC,CNBC,2022-04-19 07:00:00+00:00,https://news.google.com/rss/articles/CBMidEFVX3lxTE90ZWJ3bDlHYW5CUnpya3l2c3FQNzI5Rlk5WF9nQUFHNW05UWgzenRCd3Z6dmlaSlV3M056bVlJSWhpUmUwcDZaNHlIZThSSDlsRTV5VmxJM3JST2hSTXJ4bWs2SGotUHBLMGpvQ2gwOXNNMWVm0gF6QVVfeXFMTjIzcTRIWWJZQkhmRXRXdHRPc2U1MFNuRE5BMWdpQnotZnhYdmJGS3VqdjhOTmVCMFNxSVZaXzktemM4ZFhYblNmMEhFY04teWs3eHhfQlFBT2poRW54WU4zMW5LbUlFZU1LUzVVT0dVYnlvN08tRHFWZ0E?oc=5,"""Netflix"" subscriber loss April 2022"
Netflix,Netflix Stock Takes Another Dive As Streaming Giant Posts Q1 Subscriber Reversal - Deadline,Deadline,2022-04-19 07:00:00+00:00,https://news.google.com/rss/articles/CBMimgFBVV95cUxONFFuajkyYVVnQmhqVVdfOVRzUC1kSmRWQmFRVFF3b0xNQ3hMc01ZdUROckpWZWozLWQxZ3JWWU9VbEZvU2xXYnA1RnhoeFdVa1VkLTJGUHNXd1RPTV80N25MSjdyNDIxUVVxNmJNY1lqcXVISUMtZnVkWXdTdE5BRU54cDlzNlBzdC0xZkM5SzIzVVJUM3hsd01n?oc=5,"""Netflix"" subscriber loss April 2022"
Netflix,"Netflix loses 200,000 subscribers in first quarter - latimes.com",latimes.com,2022-04-19 07:00:00+00:00,https://news.google.com/rss/articles/CBMiuAFBVV95cUxQWDZpMkpGc3FRSXdPZ1U2NllzeVJkNnRYSzV1SmdxbndaZ1NiTHZaNzQ5c0FVZ3AydlkzTGFEMlVTTkZJZWZ5Y2Vyb3liNnlEOXEyMnNWdUNWaFg5SGFMRTZCRTBaVGNjTXdSWWNlazhGOXpjR2tGbmhKQ1F0M0tMZ1FWZGp4SnlLWjNtdGRTUjhNS1NtSFFRNXhrdFFMRkpjNGt4OHNocUEwdmxuU0w2WWVSYW1nM2FZ?oc=5,"""Netflix"" subscriber loss April 2022"
Netflix,"Netflix Loses Subscribers for the First Time in 10 Years, Blames Account Sharing - MacRumors",MacRumors,2022-04-19 07:00:00+00:00,https://news.google.com/rss/articles/CBMie0FVX3lxTE84Y2MxWVRZWlFlX0UwS3lxdEg4LVN1cW1SekRkbUliWXJxYzR1b2FJaWc2SXdQWHgySWpUX0t1TWMycTlPTkpXQVdEVThNZ2ZTNUk4a1JJTFVPaXVLT0VXdHNUNlNWOUlsUEhVdTFSaU1FZzdhX2dRUlRHMA?oc=5,"""Netflix"" subscriber loss April 2022"
