case,title,source,link,query,date,xlm_score
SVB,Silicon Valley Bank and Signature Bank taken over by regulators - Norton Rose Fulbright,Norton Rose Fulbright,https://news.google.com/rss/articles/CBMizwFBVV95cUxPMzJ3TzA5bGEzNnpnTFJTVE84V3UzQnZHRW9QOFptc2E1V3Z6b0MxdFVCdEtlbWZwenZDY0NUMzFyVVRjY1JLMGRZb0p4YXAyckF5QWo5RkpDNXNpd0YxaWFfV1hCeVUwX2xfVUstdGtOcExobHl5bHZkalBBaloyZmdGaTFvWVhJWFAyckJxVW8zUWZiVlJNRHBiWVF4OHZmcHJITjBUQXBJVzF6MjJuS0xXRlhsdktfcUZkb3lrbkhQaUNyUUMydERURWRQTGc?oc=5,"""Silicon Valley Bank"" regulators",2023-03-10,0.0
SVB,"Silicon Valley Bank Closed by Regulators, FDIC Takes Control - The Wall Street Journal",The Wall Street Journal,https://news.google.com/rss/articles/CBMizgNBVV95cUxPOWxEb1hLV1FkbWFFSHZ6TU12c3ctb0NGSXhEcU9mX3U0SlhNQmotMWpxQWZZaHBpMS1xUG1CLXpqa0FCZl9nQjc0MnVjZE1hM3ZJeW1zNG5WWUhpVjRveldpY3ZmcUdZbkNscVc4b2xnTGx1SFBUXy1CRlFCNmtfQ000N3NySGVFSmFyQld3a2RWV21EeHpOeFYzZW1MOUg0QnRISTRsWjdiWmdVVU5OM0JfazNROFVXa0pmM3lOUTlnZ1Z2clUzMEU1ZzlWbi1iSHF2VEtaVGZ4eUVsU3hsU19rSENqR3BBSkd3SWZ5RzY1VlpIVjZIZjRBbVlUQWZMUFh3Q2h5Q2VOSDJJeGc2QjJ6RkotZ1FmbFROUEE5U0ZxUEEtZWlYZFhWbXp6TG93SGQ2NnJGcmZUMWZOTUdrZWxiNDFkNVFQdnFXX3I0TC1NYkxOTDd2ZXllUDQtby10Q1BsLXVrQmUydmNWbDJ1c1cyV0dDQXUxQXFrSmxja3ZiYWxpbnJ1VkN4TFZYYzNqWklpUl8zVTB3bUtrdVJNMWZsbl9VTDVnVkdoaEVfWm9HS1RNU1FrdENQRUZUdlF1TWpXYTdqMlU2Ukc2YUE?oc=5,"""Silicon Valley Bank"" regulators",2023-03-10,0.0
SVB,Regulators take over Silicon Valley Bank - Banking Dive,Banking Dive,https://news.google.com/rss/articles/CBMitwFBVV95cUxOUU1RTFRLYldPZzRxTEpERlZaRUdRLW0yXzB2MUJfaWVaYy1Iby1teDk2RWx1bXlVMzdSWk1pMmdpakczRkJKVXFNYkc2b19HOU5CS2FlaTdLSmxQUkQ3YS15WU5wYVRMMnV1U292ektHM2JEQmVRX3NpOEU0c2NMaTFyaGprb05zQW9xOF9DcUVHbnU0aWEyaXA4SUpTU25KQi1lcjB6MWlJMFFEbEQtWkVqSi0xNWM?oc=5,"""Silicon Valley Bank"" regulators",2023-03-10,0.0
SVB,Silicon Valley Bank has officially failed after less than a day of panicked selling as the federal government takes it over - Fortune,Fortune,https://news.google.com/rss/articles/CBMiigFBVV95cUxOem42N01xMkJnVnEza1NSeFNNbU1pbVlmeHJaMHNQWXpMYk5FeF85VFU2T1FxMHpSYk1RMF9QRFU4eVk4aDF3eGczMXVRWHpnNWJHeGtsclppaXpwbWJSYWl2NU1UVS1iQ0dSRDItSDFWZXpYanBYbEVNUzE2dUF1WFFVREwtZDV6aUE?oc=5,"""Silicon Valley Bank"" regulators",2023-03-10,-0.8970096111297607
SVB,Silicon Valley Bank shut down by regulators - Fox Business,Fox Business,https://news.google.com/rss/articles/CBMiiAFBVV95cUxPUlR2akxyNEl5Q183R0VoVXN3YzhRRmhtTklOLWNyN3ZsSTExTHBBTkwyMEpDc3gybVoyS3p6VWxFTGdWSUNDODZueDZxbFpMOS0tYmU4bXZhVk1QTndjUkpvQVdILXdQdVM4UGxVZnlhbk9PZ2pRS0NrVGtRRnNzNmZBc242TnBU0gGOAUFVX3lxTE9Sa1MwbmNQZDAwRzdHUldSdS10R09kUFNtMjVNWk4zYVV2bW9tbk1BREZ6YnZnc25Hcm5UbkpMdkFERVZEdHNTLUZ2eUVkTWhjbWpnbnlfYVV4WE4wQTZrbDF3cnBMbGQzR21VYzI5YTFJZF9IbTgxekVWQi11dVRBaUl1VkxfQjd3Tkxud0E?oc=5,"""Silicon Valley Bank"" regulators",2023-03-10,-0.6623380780220032
SVB,"Regulators shut down Silicon Valley Bank, capping abrupt 44-hour collapse - American Banker",American Banker,https://news.google.com/rss/articles/CBMiswFBVV95cUxNU3U5WDdYWnlQOWczaTFNOGJmNDFQejdUM3ZHQW1LVDExSnNtb0NmaUtMWHRwWHVIYWdCaWtKd1NTeFpsU2M1SGpaQkFTT0Q5SzdXNmhERFdhaGpfblFOZl9vNU9jUHpibXRCQm9rUHczZ0pucVVtbmhINFpFZFJjN3htWTJUdC02Qkg2OUctY1NSdGdQY01CRE5yY0RtQVJVd3drdGRHdnBZb3VBR1AyWjVvaw?oc=5,"""Silicon Valley Bank"" regulators",2023-03-10,-0.8578178882598877
SVB,US regulators shut down Silicon Valley Bank - DW.com,DW.com,https://news.google.com/rss/articles/CBMiggFBVV95cUxPSEl6SUZSUm51QVU3ZnV3TE94R2gwekgwRi1hLUdlX0Yya1lrMzVKN1RiRVNrN0tuWTMySVd5b1RqcjJuMklIZlJNRk80QXJ2UVlObzVOalh1WHF1dWw0QzBCRzROZFg0V3RRdUJBU1dQSkdISWh4TFBTLWF6WnBRTVBR0gGCAUFVX3lxTE1PMndnWlpSWWpaX1FpbVdPV2xBeEt6cFNRdDZOMFRod1g4dWtxRUFpeVc3UDNkY01GcjhuME5wNXhQVkh1YzBDaThVRUxvWmFmWXBkQzdHc3ZUVnV0aXJvNUZlMDFRYmxOTnBGVFkyU3BDdFBPNDVZS2Yya0cwWEs0VGc?oc=5,"""Silicon Valley Bank"" regulators",2023-03-10,-0.7734730839729309
SVB,Silicon Valley Bank is seized by U.S. after historic failure - marketplace.org,marketplace.org,https://news.google.com/rss/articles/CBMimAFBVV95cUxOejhYUkozV196cDlNZHhYY3dnTmxVSmVXVXdNVDB1ZGlTU2IyaGpxNnJ0WFQ3RGUxWlhfa1IwNUlBZzF5d09Yd1FzWTBsR0prckhfN0NPUXBoNnltbVl3R3Z0dGhsUFZjZzdtNUJ4TXRqWUJ4VDF6ZE1sOU9ZdUkwSFdrRW9VVlRXNGpUMFpwUFZoV2N6dzBqUw?oc=5,"""Silicon Valley Bank"" regulators",2023-03-10,-0.8228984475135803
SVB,Silicon Valley Bank Collapse Leaves Tech Industry Scrambling For Answers - Crunchbase News,Crunchbase News,https://news.google.com/rss/articles/CBMicEFVX3lxTE4zbmwwUmFiMmZibkZiU2NqZDRRVUpqcGxCeFVwV3hjVl9HZnAwZFhMRzRDSGQyZlJQQXN3XzZyZ3Zad1hJRzRaMUtZNVVjQ1AxaUNpcUxUTnItVE9UOFFsYlFteE9LUmU1dUcwLTQwQlA?oc=5,"""Silicon Valley Bank"" regulators",2023-03-10,-0.732317328453064
SVB,SVB is largest bank failure since 2008 financial crisis - Reuters,Reuters,https://news.google.com/rss/articles/CBMiigFBVV95cUxOdlhqYkpqZVFVSnpObFRpZmZmNnhXNlNtZkV5ZHY4OG10SDRuT2FPTmxZdTFMcXpkM19WWkRVM2Zod293RGZjSDl5cm92VnF5VXBSZWZqSzZ0c2pwQ3lkck50OGVBdnFJVnk3NTFyLXp5RGc3NzdzaWI3dkRuYVpuMkYxamhQUXloOWc?oc=5,"""SVB"" bank collapse",2023-03-10,-0.8668801188468933
