id,text,twitterUrl,retweetCount,replyCount,likeCount,quoteCount,isReply,date
1516532661803573258,#netflix 👀👀👀 this stock needs more than a prayer lol 😂 26% drop and we haven’t even closed the market yet. 💀👀 but for 1 year people told us #AMC movies were dead lol I think they meant streaming was dead. 🤣🤣🤣 I’m so sorry this is funny. https://t.co/P61nIAUgCE,https://twitter.com/live2beingu/status/1516532661803573258,28,11,156,2,False,2022-04-19
1516544297147179009,"◆初の会員減
さきほどのNETFLIX決算。3月の有料会員数は2.21億人で、昨年末比で微減。減少は初。6月にはさらに減る見通し。コロナ禍では在宅でのニーズから急増しましたが、成長局面は転機にさしかかっています。株価は急落。投資家心理の悪化は米国株先物全体にも広がっています https://t.co/3SQZrQBpEe",https://twitter.com/goto_finance/status/1516544297147179009,382,6,2201,62,False,2022-04-19
1516511437354455041,"Netflix lost 200K subscribers in Q1 and expect to lose another 2M in Q2

It's the first time they lost subscribers in over a decade https://t.co/R6Km2JKxJU",https://twitter.com/screentime/status/1516511437354455041,3436,1436,37573,7594,False,2022-04-19
1516553092837396490,"Netflix CEO now says he’s open to a cheaper, ad-supported plan https://t.co/qVhyqvpi89 https://t.co/WDNcESQdIR",https://twitter.com/verge/status/1516553092837396490,103,87,842,169,False,2022-04-19
1516511634298228738,"Netflix had to spend a full page of its investor letter explaining why it lost 200k subs last quarter and will lose 2 million more next q. Tldr: World needs more streamers; too many password-sharers; competition turns out to be a thing, after all; COVID,Russia, inflation, dunno. https://t.co/o5F8AiYDE3",https://twitter.com/pkafka/status/1516511634298228738,60,8,188,16,False,2022-04-19
1516543546555514881,"No guesting on TV, no promotions made after #BusinessProposal became hit, but the numbers came at hand. After 2nd week of its airing, the kdrama tops again in more than 60 countries and No. 4 in Top TV Shows in Netflix Global chart.Rewatch value is very high and just bang! 😲 https://t.co/boLNIXEpTH",https://twitter.com/schonheit1385/status/1516543546555514881,113,5,451,3,False,2022-04-19
1516544636164218892,Netflix pierde suscriptores por primera vez en una década y se desploma en la bolsa https://t.co/F8blAWoW8Z https://t.co/Nxdgf4Baci,https://twitter.com/xataka/status/1516544636164218892,57,51,254,39,False,2022-04-19
1516548692576137216,"Netflix's revenue growth has ""slowed considerably"" as 200,000 global subscribers have left, and it expects to lose another 2 million subscribers in Q2 of 2022. https://t.co/0DLKr3ZGOM",https://twitter.com/GameSpot/status/1516548692576137216,30,26,233,10,False,2022-04-19
1516538919151706113,"@DiscussingFilm I remember when Netflix had tons of movies and shows from the major studios before late 2019. 

Now the big studios (outside of Sony Pictures) have their own streaming services, and that definitely hurt Netflix. https://t.co/GimFoJkPyu",https://twitter.com/APPictures9/status/1516538919151706113,30,10,997,5,True,2022-04-19
1516393428980011010,"Ads coming to streaming. Just like with cable. And this, ""In January, Netflix surprised investors when it said that its growth, which accelerated during the pandemic, was set to slow dramatically."" How could this surprise? There's a finite market.

https://t.co/Qwm46WPyWL",https://twitter.com/ErikSherman/status/1516393428980011010,0,0,0,0,False,2022-04-19
1516513003201609730,"$NFLX just completely plummeted down 23% in the after-hours market, since the company announced it has lost over 200,000 customers in their streaming services in Quarter 1 of 2022. 

Netflix blames the loss on ""password sharing."" 😂

$BTC $LGCY $VRA $GALA $MANA https://t.co/NYlI1fcFbs",https://twitter.com/1BrandonMejia/status/1516513003201609730,0,0,1,0,False,2022-04-19
